

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1], [1, -1, 1, -1], [1, 1, -1, -1], [1, -1, -1, 1]]        
------------------------------------------------------------------------------------


27/10/2024 10:11:00 ||| CHANNEL...   ||  [-1, -1, 1, 1]
27/10/2024 10:11:00 ||| RECEIVER-2   ||  BIT RECEIVED : 0
27/10/2024 10:11:00 ||| RECEIVER-1   ||  BIT RECEIVED : 0
27/10/2024 10:11:00 ||| RECEIVER-4   ||  BIT RECEIVED : 0
27/10/2024 10:11:00 ||| RECEIVER-3   ||  BIT RECEIVED : 0
27/10/2024 10:11:01 ||| CHANNEL...   ||  [1, -1, -1, 1]
27/10/2024 10:11:01 ||| SENDER-4     ||  DATA BIT SEND 1
27/10/2024 10:11:01 ||| SENDER-1     ||  DATA BIT SEND 1
27/10/2024 10:11:01 ||| CHANNEL...   ||  [1, 1, 1, 1]
27/10/2024 10:11:01 ||| CHANNEL...   ||  [1, -1, 1, -1]
27/10/2024 10:11:01 ||| SENDER-2     ||  DATA BIT SEND 1
27/10/2024 10:11:01 ||| SENDER-3     ||  DATA BIT SEND 1
27/10/2024 10:11:01 ||| CHANNEL...   ||  [1, 1, -1, -1]
27/10/2024 10:11:01 ||| RECEIVER-2   ||  BIT RECEIVED : 1
27/10/2024 10:11:01 ||| RECEIVER-3   ||  BIT RECEIVED : 1
27/10/2024 10:11:01 ||| RECEIVER-4   ||  BIT RECEIVED : 1
27/10/2024 10:11:01 ||| RECEIVER-1   ||  BIT RECEIVED : 1
27/10/2024 10:11:01 ||| SENDER-1     ||  DATA BIT SEND 1
27/10/2024 10:11:01 ||| CHANNEL...   ||  [1, 1, 1, 1]
27/10/2024 10:11:01 ||| CHANNEL...   ||  [1, -1, -1, 1]
27/10/2024 10:11:01 ||| SENDER-4     ||  DATA BIT SEND 1
27/10/2024 10:11:01 ||| SENDER-2     ||  DATA BIT SEND 1
27/10/2024 10:11:01 ||| CHANNEL...   ||  [1, -1, 1, -1]
27/10/2024 10:11:01 ||| SENDER-3     ||  DATA BIT SEND 1
27/10/2024 10:11:01 ||| CHANNEL...   ||  [1, 1, -1, -1]
27/10/2024 10:11:01 ||| RECEIVER-1   ||  BIT RECEIVED : 1
27/10/2024 10:11:01 ||| RECEIVER-2   ||  BIT RECEIVED : 1
27/10/2024 10:11:01 ||| RECEIVER-3   ||  BIT RECEIVED : 1
27/10/2024 10:11:01 ||| RECEIVER-4   ||  BIT RECEIVED : 1

27/10/2024 10:11:01 ||| DATA : [0, 1, 0, 1, 0, 0, 1, 1]

27/10/2024 10:11:01 ||| DATA : [0, 1, 0, 1, 0, 0, 1, 1]

27/10/2024 10:11:01 ||| DATA : [0, 1, 0, 1, 0, 0, 1, 1]

27/10/2024 10:11:01 ||| DATA : [0, 1, 0, 1, 0, 0, 1, 1]

27/10/2024 10:11:01 ||| CHAR RECEIVED : S


27/10/2024 10:11:01 ||| CHAR RECEIVED : S


27/10/2024 10:11:01 ||| CHAR RECEIVED : S


27/10/2024 10:11:01 ||| CHAR RECEIVED : S

27/10/2024 10:11:02 ||| CHANNEL...   ||  [-1, -1, -1, -1]
27/10/2024 10:11:02 ||| SENDER-2     ||  DATA BIT SEND -1
27/10/2024 10:11:02 ||| SENDER-1     ||  DATA BIT SEND -1
27/10/2024 10:11:02 ||| SENDER-4     ||  DATA BIT SEND -1
27/10/2024 10:11:02 ||| CHANNEL...   ||  [-1, 1, 1, -1]
27/10/2024 10:11:02 ||| CHANNEL...   ||  [-1, 1, -1, 1]
27/10/2024 10:11:02 ||| SENDER-3     ||  DATA BIT SEND -1
27/10/2024 10:11:02 ||| CHANNEL...   ||  [-1, -1, 1, 1]
27/10/2024 10:11:02 ||| RECEIVER-2   ||  BIT RECEIVED : 0
27/10/2024 10:11:02 ||| RECEIVER-1   ||  BIT RECEIVED : 0
27/10/2024 10:11:02 ||| RECEIVER-3   ||  BIT RECEIVED : 0
27/10/2024 10:11:02 ||| RECEIVER-4   ||  BIT RECEIVED : 0
27/10/2024 10:11:03 ||| CHANNEL...   ||  [1, 1, 1, 1]
27/10/2024 10:11:03 ||| SENDER-1     ||  DATA BIT SEND 1
27/10/2024 10:11:03 ||| SENDER-4     ||  DATA BIT SEND 1
27/10/2024 10:11:03 ||| CHANNEL...   ||  [1, -1, -1, 1]
27/10/2024 10:11:03 ||| SENDER-2     ||  DATA BIT SEND 1
27/10/2024 10:11:03 ||| CHANNEL...   ||  [1, -1, 1, -1]
27/10/2024 10:11:03 ||| SENDER-3     ||  DATA BIT SEND 1
27/10/2024 10:11:03 ||| CHANNEL...   ||  [1, 1, -1, -1]
27/10/2024 10:11:03 ||| RECEIVER-2   ||  BIT RECEIVED : 1
27/10/2024 10:11:03 ||| RECEIVER-1   ||  BIT RECEIVED : 1
27/10/2024 10:11:03 ||| RECEIVER-3   ||  BIT RECEIVED : 1
27/10/2024 10:11:03 ||| RECEIVER-4   ||  BIT RECEIVED : 1
27/10/2024 10:11:03 ||| CHANNEL...   ||  [-1, 1, -1, 1]
27/10/2024 10:11:03 ||| SENDER-2     ||  DATA BIT SEND -1
27/10/2024 10:11:03 ||| SENDER-4     ||  DATA BIT SEND -1
27/10/2024 10:11:03 ||| SENDER-1     ||  DATA BIT SEND -1
27/10/2024 10:11:03 ||| CHANNEL...   ||  [-1, -1, -1, -1]
27/10/2024 10:11:03 ||| CHANNEL...   ||  [-1, 1, 1, -1]
27/10/2024 10:11:03 ||| SENDER-3     ||  DATA BIT SEND -1
27/10/2024 10:11:03 ||| CHANNEL...   ||  [-1, -1, 1, 1]
27/10/2024 10:11:03 ||| RECEIVER-1   ||  BIT RECEIVED : 0
27/10/2024 10:11:03 ||| RECEIVER-2   ||  BIT RECEIVED : 0
27/10/2024 10:11:03 ||| RECEIVER-3   ||  BIT RECEIVED : 0
27/10/2024 10:11:03 ||| RECEIVER-4   ||  BIT RECEIVED : 0
27/10/2024 10:11:04 ||| SENDER-1     ||  DATA BIT SEND -1
27/10/2024 10:11:04 ||| CHANNEL...   ||  [-1, -1, -1, -1]
27/10/2024 10:11:04 ||| SENDER-2     ||  DATA BIT SEND -1
27/10/2024 10:11:04 ||| SENDER-4     ||  DATA BIT SEND -1
27/10/2024 10:11:04 ||| CHANNEL...   ||  [-1, 1, 1, -1]
27/10/2024 10:11:04 ||| CHANNEL...   ||  [-1, 1, -1, 1]
27/10/2024 10:11:04 ||| SENDER-3     ||  DATA BIT SEND -1
27/10/2024 10:11:04 ||| CHANNEL...   ||  [-1, -1, 1, 1]
27/10/2024 10:11:04 ||| RECEIVER-2   ||  BIT RECEIVED : 0
27/10/2024 10:11:04 ||| RECEIVER-1   ||  BIT RECEIVED : 0
27/10/2024 10:11:04 ||| RECEIVER-4   ||  BIT RECEIVED : 0
27/10/2024 10:11:04 ||| RECEIVER-3   ||  BIT RECEIVED : 0
27/10/2024 10:11:05 ||| SENDER-2     ||  DATA BIT SEND -1
27/10/2024 10:11:05 ||| SENDER-3     ||  DATA BIT SEND -1
27/10/2024 10:11:05 ||| CHANNEL...   ||  [-1, -1, -1, -1]
